id,zh_title,ru_title,current_def_starts_with,current_def_ru_term,category,has_ru_def,issue
249,小三和弦,минорное (малое) трезвучие,终止,каданс / каденция,音阶调式与和声,True,no_exact_match
251,和弦三音,терцовый тон аккорда,十三度,терцдецима,音阶调式与和声,True,no_exact_match
252,主三和弦,тоническое трезвучие,半减七和弦,полууменьшённый септаккорд,音阶调式与和声,True,no_exact_match
253,小三和弦,малое трезвучие,还原号/本位号,бекар,音阶调式与和声,True,no_exact_match
254,小七和弦,малые септаккорды,半音,полутон,音阶调式与和声,True,no_exact_match
255,小导七和弦,малый вводный септаккорд,波音,мордент,音阶调式与和声,True,no_exact_match
260,和弦根音,основной тон аккорда,乐感,музыкальный слух,音阶调式与和声,True,no_exact_match
262,和声学,гармония,织体,фактура,音阶调式与和声,True,no_exact_match
265,属音/属和弦,доминанта,等音变换,энгармонический обмен,音阶调式与和声,False,no_exact_match
266,下属音/下属和弦,субдоминанта,绝对音感,абсолютный слух,音阶调式与和声,True,no_exact_match
267,导和弦,вводный аккорд,自然大调,натуральный мажор,音阶调式与和声,False,no_exact_match
269,功能,функция,自然调式,диатонические лады,音阶调式与和声,False,no_exact_match
271,离调,отклонение,调式音级,ступень,音阶调式与和声,False,no_exact_match
272,解决,разрешение,转调,модуляция,音阶调式与和声,True,no_exact_match
273,对位法,контрапункт,,,音阶调式与和声,True,no_exact_match
291,经过音,проходящий звук,经过音。неаккордовый звук,,音阶调式与和声,True,no_exact_match
292,辅助音,вспомогательный звук,辅助音。неаккордовый звук,,音阶调式与和声,True,no_exact_match
295,倚音（和声）,форшлаг (гармонический),和声倚音,форшлаг гармонический,音阶调式与和声,True,no_exact_match
313,伴奏,аккомпанемент,伴奏。музыкальное сопровождение,по-французски accompagner — сопровождать,音阶调式与和声,True,no_exact_match
314,变化音,альтерация,,,音阶调式与和声,True,no_exact_match
315,调式变化音,альтерация ладовая,,,音阶调式与和声,True,no_exact_match
316,转调变化音,альтерация модуляционная,,,音阶调式与和声,True,no_exact_match
317,正音级,главные ступени лада,正音级。I,,音阶调式与和声,True,no_exact_match
318,升C小调,до-диез-минор,,,音阶调式与和声,True,no_exact_match
321,附加音级,добавочные ступени,附加音级。ступени,,音阶调式与和声,True,no_exact_match
322,多利亚调式,дорийский лад,多利亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
323,五度圈,квинтовый круг,低音,бас,音阶调式与和声,True,no_exact_match
324,调式,лад,调式是音乐中音高关系的组织体系,,音阶调式与和声,True,no_exact_match
325,利底亚调式,лидийский лад,利底亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
326,大调音阶,мажорная гамма,大调音阶。звуковой ряд мажорного лада,,音阶调式与和声,True,no_exact_match
327,大小调交替,мажоро-минор,大小调交替。лад,,音阶调式与和声,True,no_exact_match
328,倾向,наклонение,倾向。термин,,音阶调式与和声,True,no_exact_match
330,延留音（持续音）,органный пункт,延留音,持续音,音阶调式与和声,True,no_exact_match
331,基本音级,основные ступени лада,基本音级。ступени лада в их «чистом» виде,,音阶调式与和声,True,no_exact_match
333,和音,созвучие,,,音阶调式与和声,True,no_exact_match
335,律制（平均律）,темперация,律制,平均律,音阶调式与和声,True,no_exact_match
336,四音音列,тетрахорд,四音音列。отрезок звукоряда,,音阶调式与和声,True,no_exact_match
338,稳定音级,устойчивые ступени лада,稳定音级。опорные звуки лада,,音阶调式与和声,True,no_exact_match
339,弗里吉亚调式,фригийский лад,弗里吉亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
340,半音体系,хроматизм,半音体系。повышение или понижение,на полтона,音阶调式与和声,True,no_exact_match
342,等音,энгармонизм,,,音阶调式与和声,True,no_exact_match
344,伊奥利亚调式,эолийский лад,伊奥利亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
345,导入音,вводный тон,"导入音。название тона, прилегающего к тонике лада",как бы вводящего в неё,音阶调式与和声,True,no_exact_match
349,和声配置,гармонизация,,,音阶调式与和声,True,no_exact_match
350,通奏低音,генерал-бас,通奏低音。особый музыкально-технический приём,,音阶调式与和声,True,no_exact_match
352,自然音体系,диатоника,自然音体系。система интервальных соотношений,,音阶调式与和声,True,no_exact_match
353,自然音阶,диатоническая гамма,,,音阶调式与和声,True,no_exact_match
355,伊奥尼亚调式,ионийский лад,伊奥尼亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
356,终止式,каданс,主音,тоника,音阶调式与和声,True,no_exact_match
357,协和音,консонанс,协和音。сочетание 2-х или нескольких звуков,,音阶调式与和声,True,no_exact_match
358,洛克利亚（下弗里吉亚）调式,локрийский (гипофригийский) лад,洛克利亚,下弗里吉亚,音阶调式与和声,True,no_exact_match
360,混合利底亚调式,миксолидийский лад,混合利底亚调式。один из натуральных ладов,см. натуральные лады,音阶调式与和声,True,no_exact_match
361,自然调式,натуральные лады,自然调式。группа семиступенных ладов,,音阶调式与和声,True,no_exact_match
362,自然泛音列,натуральный звукоряд,,,音阶调式与和声,True,no_exact_match
363,非和弦音,неаккордовый звук,非和弦音。звук,,音阶调式与和声,True,no_exact_match
369,同名调,одноимённые тональности,同名调。2 тональности,,音阶调式与和声,True,no_exact_match
371,关系调,параллельные тональности,,,音阶调式与和声,True,no_exact_match
372,十二平均律,равномерно-темперированный строй,十二平均律。музыкальная система,,音阶调式与和声,True,no_exact_match
379,复调音乐,полифония,复调音乐是多个独立旋律同时进行的多声部音乐组织方式，与主调音乐,旋律+伴奏,音阶调式与和声,True,no_exact_match
390,赋格主题,тема (фуги),赋格主题。мелодия,обычно короткая,音阶调式与和声,True,no_exact_match
417,声部进行,голосоведение,,,音阶调式与和声,True,no_exact_match
419,多声部,многоголосие,多声部。музыкальная ткань,,音阶调式与和声,True,no_exact_match
427,奏鸣曲式,сонатная форма,奏鸣曲式是古典音乐中最重要的曲式结构,,曲式与体裁,False,no_exact_match
431,主要部（主部主题）,главная партия (главная тема),主部/主部主题,главная партия,曲式与体裁,True,no_exact_match
442,前奏曲,прелюдия,前奏曲是在主要乐曲之前演奏的短小器乐曲,,曲式与体裁,False,no_exact_match
444,变奏曲,вариация,,,曲式与体裁,True,no_exact_match
446,组曲,сюита,,,曲式与体裁,True,no_exact_match
448,弥撒曲,месса,弥撒曲是为天主教弥撒仪式创作的声乐-器乐曲,,曲式与体裁,True,no_exact_match
449,清唱剧,оратория,清唱剧是有独唱、合唱和管弦乐队的大型声乐-器乐体裁,,曲式与体裁,True,no_exact_match
458,交响诗,симфоническая поэма,交响诗是19世纪浪漫主义时期产生的单乐章标题管弦乐曲体裁,,曲式与体裁,True,no_exact_match
464,练声曲,вокализ,练声曲是用元音,无歌词,曲式与体裁,False,no_exact_match
489,倒影再现,зеркальная реприза,倒影再现。особый вид репризы в сонатной форме,см.,曲式与体裁,True,no_exact_match
491,叠部,рефрен,叠部。основной раздел рондо,,曲式与体裁,True,no_exact_match
495,乐节,фраза / построение,乐句/乐节,фраза,曲式与体裁,True,no_exact_match
517,音乐瞬间,музыкальный момент,,,曲式与体裁,True,no_exact_match
525,连接部（缩写св.п.）,связующая партия (св.п.),连接部,缩写св.п.,曲式与体裁,False,no_exact_match
526,结束部（缩写з.п.）,заключительная партия (з.п.),结束部,缩写з.п.,曲式与体裁,False,no_exact_match
546,阿拉伯风格曲,арабеска,,,曲式与体裁,True,no_exact_match
547,编曲,аранжировка,编曲。см. Переложение. АРЕНСКИЙ Антон Степанович,1861—1906,曲式与体裁,True,no_exact_match
549,颂歌,гимн,颂歌。торжественная песнь,от греч. hymnos — хвалебная песнь,曲式与体裁,True,no_exact_match
550,音乐体裁,жанр,,,曲式与体裁,True,no_exact_match
551,随想曲,каприс,随想曲。см. Каприччио. КАПРИЧЧИО,правильнее каприччо,曲式与体裁,True,no_exact_match
553,小协奏曲,концертино,小协奏曲。небольшой инструментальный концерт,итальянское concertino — уменьшительное от concerto — концерт,曲式与体裁,True,no_exact_match
554,分节歌,куплет,分节歌。раздел куплетной формы,,曲式与体裁,True,no_exact_match
556,曲调,напев,,,曲式与体裁,True,no_exact_match
557,新事曲,новеллетта,,,曲式与体裁,True,no_exact_match
558,颂歌,ода,颂歌。торжественное музыкальное,или поэтическое,曲式与体裁,True,no_exact_match
559,释义曲,"парафраза, парафраз",,,曲式与体裁,True,no_exact_match
561,改编曲,"переложение, аранжировка",,,曲式与体裁,True,no_exact_match
565,乐曲,пьеса,,,曲式与体裁,True,no_exact_match
570,小奏鸣曲,сонатина,小奏鸣曲。соната,,曲式与体裁,True,no_exact_match
571,奏鸣曲式,"сонатная форма, сонатное аллегро",奏鸣曲式。музыкальная форма,,曲式与体裁,True,no_exact_match
577,片段,фрагмент,片段。отрывок,происходит от латинского слова fragmentum — осколок,曲式与体裁,True,no_exact_match
579,套曲曲式,циклические формы,套曲曲式。музыкальные формы,,曲式与体裁,True,no_exact_match
581,贺婚歌,эпиталама,贺婚歌。свадебная песня,,曲式与体裁,True,no_exact_match
582,幽默曲,юмореска,幽默曲。небольшая пьеса юмористического,,曲式与体裁,True,no_exact_match
586,结束段,заключительная часть,,,曲式与体裁,True,no_exact_match
588,传奇曲,легенда,传奇曲。инструментальная пьеса,,曲式与体裁,True,no_exact_match
589,伦敦交响曲,лондонские симфонии,,,曲式与体裁,True,no_exact_match
590,单乐章作品,одночастное произведение,单乐章作品。произведение,,曲式与体裁,True,no_exact_match
591,组曲,партита,组曲。итальянское обозначение сюиты,см.,曲式与体裁,True,no_exact_match
592,无穷动,перпетуум-мобиле,无穷动。виртуозная инструментальная пьеса,,曲式与体裁,True,no_exact_match
595,后奏曲,постлюдия,后奏曲。заключительный раздел произведения,,曲式与体裁,True,no_exact_match
597,乐节,предложение,乐节。один из элементов музыкальной формы,,曲式与体裁,True,no_exact_match
598,利切卡尔,ричеркар,利切卡尔。музыкальная форма,,曲式与体裁,True,no_exact_match
599,小回旋曲,рондино,小回旋曲。рондо небольших размеров,,曲式与体裁,True,no_exact_match
602,连接段,связующая часть,,,曲式与体裁,True,no_exact_match
604,埃格蒙特,эгмонт,,,曲式与体裁,True,no_exact_match
605,前奏曲,"прелюдия, прелюд",,,曲式与体裁,True,no_exact_match
607,小品曲,багатель,小品曲。маленькая пьеса,,曲式与体裁,True,no_exact_match
610,双管编制,парный состав,双管编制。состав симфонического оркестра,,曲式与体裁,True,no_exact_match
611,小赋格,фугетта,"小赋格。небольшая, несложная фуга",fughetta — по-итальянски — маленькая фуга,曲式与体裁,True,no_exact_match
614,田园曲,пастораль,田园曲。музыкальное произведение,,曲式与体裁,True,no_exact_match
618,力度,динамика,力度是音乐中声音强弱的程度,,力度与演奏法,False,no_exact_match
677,柔和地,аттентуто,减弱地,attenuato,力度与演奏法,True,no_exact_match
678,即兴演奏,импровизация,即兴演奏。сочинение музыки во время её исполнения,латинское improvisus — непредвиденный,力度与演奏法,True,no_exact_match
680,泛音,флажолет,泛音。лёгкий,,力度与演奏法,True,no_exact_match
683,花唱,мелизмы,花唱。небольшие мелодические обороты,,力度与演奏法,True,no_exact_match
684,音色处理,нюансировка,,,力度与演奏法,True,no_exact_match
688,预现音,предъем,预现音。звук какого-либо аккорда,,力度与演奏法,True,no_exact_match
745,撕裂（德语）,zerrehen,拖延/渐慢,zerrehen / zerreißen,力度与演奏法,True,no_exact_match
747,全奏,тутти,,,力度与演奏法,True,no_exact_match
748,触键法,туше,,,力度与演奏法,True,no_exact_match
755,手风琴,аккордеон,手风琴。клавишный духовой инструмент,,键盘乐器,True,no_exact_match
756,巴扬手风琴,баян,巴扬手风琴。клавишный духовой инструмент,,键盘乐器,True,no_exact_match
757,维吉那琴,верджинел,,,键盘乐器,True,no_exact_match
758,拨弦古钢琴,клавесин,,,键盘乐器,True,no_exact_match
761,管风琴,орган,管风琴。клавишный духовой инструмент,,键盘乐器,True,no_exact_match
763,钢片琴,челеста,钢片琴。ударно-клавишный инструмент,,键盘乐器,True,no_exact_match
764,手摇风琴,шарманка,手摇风琴。механический духовой инструмент,,键盘乐器,True,no_exact_match
765,手键盘,мануал,手键盘。название клавиатуры на органе,,键盘乐器,True,no_exact_match
766,键盘乐器,клавишные инструменты,键盘乐器。группа музыкальных инструментов,,键盘乐器,True,no_exact_match
767,簧风琴,фисгармония,簧风琴。клавишный духовой инструмент,,键盘乐器,True,no_exact_match
768,巴拉莱卡琴,балалайка,,,弓弦与拨弦乐器,True,no_exact_match
769,班杜拉琴,бандура,,,弓弦与拨弦乐器,True,no_exact_match
770,吉他,гитара,吉他。струнный щипковый инструмент,,弓弦与拨弦乐器,True,no_exact_match
772,古斯里琴,гусли,,,弓弦与拨弦乐器,True,no_exact_match
774,多姆拉琴,домра,,,弓弦与拨弦乐器,True,no_exact_match
776,里拉琴,лира,,,弓弦与拨弦乐器,True,no_exact_match
777,琉特琴,лютня,,,弓弦与拨弦乐器,True,no_exact_match
778,小提琴,скрипка,小提琴是弓弦乐器家族中音域最高的乐器,,弓弦与拨弦乐器,True,no_exact_match
779,弓弦乐器,смычковые инструменты,弓弦乐器。струнные музыкальные инструменты,,弓弦与拨弦乐器,True,no_exact_match
780,弦乐器,струнные музыкальные инструменты,弦乐器。инструменты,,弓弦与拨弦乐器,True,no_exact_match
781,拨弦乐器,щипковые музыкальные инструменты,拨弦乐器。группа струнных инструментов,,弓弦与拨弦乐器,True,no_exact_match
782,电子乐器,электрические музыкальные инструменты,电子乐器。группа музыкальных инструментов,,弓弦与拨弦乐器,True,no_exact_match
783,布祖基琴,бузуки,,,弓弦与拨弦乐器,True,no_exact_match
784,第二小提琴声部,вторые скрипки,,,弓弦与拨弦乐器,True,no_exact_match
785,库姆兹琴,комуз,,,弓弦与拨弦乐器,True,no_exact_match
786,曼陀林,мандолина,,,弓弦与拨弦乐器,True,no_exact_match
787,第一小提琴声部,первые скрипки,第一小提琴声部。группа скрипок в симфоническом,или камерном,弓弦与拨弦乐器,True,no_exact_match
788,科布扎,кобза,,,弓弦与拨弦乐器,True,no_exact_match
789,塔尔琴,тар,塔尔琴。щипковый инструмент,,弓弦与拨弦乐器,True,no_exact_match
790,班卓琴,банджо,班卓琴。струнный щипковый инструмент,,弓弦与拨弦乐器,True,no_exact_match
791,英国管,английский рожок,,,管乐器,True,no_exact_match
793,唢呐（高加索管乐器）,зурна,唢呐,高加索管乐器,管乐器,True,no_exact_match
794,单簧管,кларнет,单簧管是木管乐器,,管乐器,True,no_exact_match
795,科尔内,корнет,科尔内。медный духовой инструмент,,管乐器,True,no_exact_match
796,短号,корнет-а-пистон,短号。усовершенствованный вид корнета,буквально — рожок с клапанами,管乐器,True,no_exact_match
798,长号,тромбон,长号。медный духовой инструмент,,管乐器,True,no_exact_match
799,小号,труба,小号是铜管乐器家族的高音乐器,,管乐器,True,no_exact_match
800,大号,туба,,,管乐器,True,no_exact_match
801,大管（巴松管）,фагот,大管,巴松管,管乐器,True,no_exact_match
803,长笛,флейта,长笛是木管乐器家族的高音乐器,,管乐器,True,no_exact_match
805,双簧管,гобой,双簧管是木管乐器家族的中高音乐器,,管乐器,True,no_exact_match
807,木管乐器,деревянные духовые инструменты,,,管乐器,True,no_exact_match
808,风笛,дуда,,,管乐器,True,no_exact_match
809,管乐器,духовые инструменты,管乐器。музыкальные инструменты,,管乐器,True,no_exact_match
810,扎列伊卡管,жалейка,,,管乐器,True,no_exact_match
812,铜管乐器,медные духовые инструменты,,,管乐器,True,no_exact_match
813,缪塞特风笛,мюзет,,,管乐器,True,no_exact_match
814,奥菲克莱德号,офиклейд,奥菲克莱德号。медный духовой инструмент,,管乐器,True,no_exact_match
816,萨克斯号族,саксгорны,,,管乐器,True,no_exact_match
817,萨克斯管,саксофон,萨克斯管。духовой тростевой инструмент,,管乐器,True,no_exact_match
818,牧笛,свирель,牧笛。русский народный духовой инструмент,,管乐器,True,no_exact_match
820,短笛,пикколо,短笛。название самого маленького,по-итальянски piccolo — маленький,管乐器,True,no_exact_match
821,鼓,барабаны,,,打击乐器与民族乐器,True,no_exact_match
822,钟琴（管钟类）,колокола,钟琴,管钟类,打击乐器与民族乐器,True,no_exact_match
823,铃琴,колокольчики,,,打击乐器与民族乐器,True,no_exact_match
824,铜锣,тамтам,,,打击乐器与民族乐器,True,no_exact_match
825,三角铁,треугольник,,,打击乐器与民族乐器,True,no_exact_match
826,打击乐器,ударные инструменты,打击乐器。группа инструментов,,打击乐器与民族乐器,True,no_exact_match
827,扬琴,цимбалы,,,打击乐器与民族乐器,True,no_exact_match
828,手鼓,бубён,,,打击乐器与民族乐器,True,no_exact_match
829,手鼓,бубень,手鼓。древний ударный инструмент,,打击乐器与民族乐器,True,no_exact_match
830,颤音琴,вибрафон,,,打击乐器与民族乐器,True,no_exact_match
831,锣,гонг,,,打击乐器与民族乐器,True,no_exact_match
832,鼓点,дробь барабанная,,,打击乐器与民族乐器,True,no_exact_match
833,响板,кастаньеты,,,打击乐器与民族乐器,True,no_exact_match
834,木琴,ксилофон,,,打击乐器与民族乐器,True,no_exact_match
835,小军鼓,малый барабан,,,打击乐器与民族乐器,True,no_exact_match
836,金属琴,металлофон,金属琴。см. Колокольчики. МЕТНЕР Николай Карлович,1880—1951,打击乐器与民族乐器,True,no_exact_match
837,民族乐器,народные музыкальные инструменты,民族乐器。музыкальные инструменты,,打击乐器与民族乐器,True,no_exact_match
839,管钟,тубулярные колокола,,,打击乐器与民族乐器,True,no_exact_match
840,钹,тарелки,,,打击乐器与民族乐器,True,no_exact_match
843,活塞,вентиль,,,乐器部件与附件,True,no_exact_match
844,指板,гриф,指板。деталь струнных музыкальных инструментов,смычковых или щипковых,乐器部件与附件,True,no_exact_match
845,面板,дека,,,乐器部件与附件,True,no_exact_match
846,音柱,душка,,,乐器部件与附件,True,no_exact_match
847,弦轴,колок,,,乐器部件与附件,True,no_exact_match
848,管冠,крона,,,乐器部件与附件,True,no_exact_match
849,号嘴,мундштук,号嘴。деталь медных духовых инструментов,,乐器部件与附件,True,no_exact_match
850,共鸣孔,резонаторные отверстия,,,乐器部件与附件,True,no_exact_match
851,圆号,рог,,,乐器部件与附件,True,no_exact_match
852,弓,смычок,,,乐器部件与附件,True,no_exact_match
853,琴弦,струна,琴弦。упругая,,乐器部件与附件,True,no_exact_match
854,弦枕,струнодержатель,,,乐器部件与附件,True,no_exact_match
855,次中音谱号,теноровый ключ,次中音谱号。один из ключей,,乐器部件与附件,True,no_exact_match
856,移调乐器,транспонирующие музыкальные инструменты,移调乐器。инструменты,,乐器部件与附件,True,no_exact_match
857,三管编制,тройной состав,三管编制。состав симфонического оркестра,,乐器部件与附件,True,no_exact_match
858,簧片,трость,,,乐器部件与附件,True,no_exact_match
859,留声机,фонограф,,,乐器部件与附件,True,no_exact_match
860,钢琴小品套曲,циклы фортепианных миниатюр,,,乐器部件与附件,True,no_exact_match
863,簧舌,язычок,簧舌。деталь духовых инструментов,,乐器部件与附件,True,no_exact_match
864,布尔达琴,бурда,,,乐器部件与附件,True,no_exact_match
868,音叉,камертон,音叉。небольшой прибор,обычно в виде стальной двузубчатой вилки,乐器部件与附件,True,no_exact_match
869,松香,канифоль,松香。стекловидное вещество,,乐器部件与附件,True,no_exact_match
870,弓根,колодка,弓根。деталь смычка,,乐器部件与附件,True,no_exact_match
871,高音单簧管,малый кларнети,高音单簧管。хоровой музыкальный инструмент,,乐器部件与附件,True,no_exact_match
874,弦线,нитка,弦线。горизонтальная линия,,乐器部件与附件,True,no_exact_match
877,腮托,подбородник,,,乐器部件与附件,True,no_exact_match
879,琴码,подставка,琴码。небольшая деревянная пластинка,,乐器部件与附件,True,no_exact_match
880,把位,позиция,,,乐器部件与附件,True,no_exact_match
882,喇叭口,раструб,,,乐器部件与附件,True,no_exact_match
883,琴键,клавиша,琴键。специальный рычаг,,乐器部件与附件,True,no_exact_match
884,按键,клапаны,,,乐器部件与附件,True,no_exact_match
892,华彩经过句,рулада,花腔/跑句,рулада/roulade,人声与声乐,True,no_exact_match
923,童声女高音,дискант,,,人声与声乐,True,no_exact_match
926,音域,диапазон,,,人声与声乐,True,no_exact_match
933,第二声部,второй голос,,,人声与声乐,True,no_exact_match
937,歌唱嗓音,певческий голос,,,人声与声乐,True,no_exact_match
938,声部交错,перепение,声部交错。особый случай голосоведения,,人声与声乐,True,no_exact_match
948,呼吸点,цезура (для дыхания),呼吸点/气口,цезура для дыхания,人声与声乐,True,no_exact_match
998,共鸣腔体,резонатор,共鸣体,резонатор/resonator,人声与声乐,True,no_exact_match
1016,嘴型,амбушюр,口型/嘴型,амбушюр/embouchure,人声与声乐,True,no_exact_match
1018,坎特（俄罗斯古典多声部歌曲）,кант,康特,кант/cant,人声与声乐,True,no_exact_match
1019,歌唱,пение,,,人声与声乐,True,no_exact_match
1021,如歌旋律,кантилена,如歌的旋律,кантилена/cantilena,人声与声乐,True,no_exact_match
1022,花腔,колоратура,,,人声与声乐,True,no_exact_match
1023,变声,мутация,变声期,мутация/mutation,人声与声乐,True,no_exact_match
1024,超吹,передувание,,,人声与声乐,True,no_exact_match
1025,音色,тембр,音色是声音的品质特征,,人声与声乐,True,no_exact_match
1033,音区,тесситура,,,人声与声乐,True,no_exact_match
1040,场/景,сцена / картина,舞台,сцена/картина,歌剧术语,True,no_exact_match
1041,前奏曲/序曲（歌剧术语）,прелюдия / вступление,前奏曲/序曲,прелюдия/вступление,歌剧术语,False,no_exact_match
1048,室内乐合奏,ансамбль,室内乐原指在宫廷房间,kammer,歌剧术语,False,no_exact_match
1094,行当,амплуа,行当。1) характерная роль в опере,,歌剧术语,True,no_exact_match
1095,幕间休息,антракт,,,歌剧术语,True,no_exact_match
1096,小咏叹调,ариетта,小咏叹调。небольшая по размеру ария,по-итальянски arietta — маленькая ария,歌剧术语,True,no_exact_match
1099,歌唱剧,зингшпиль,,,歌剧术语,True,no_exact_match
1100,小坎佐纳,канцонетта,小曲/歌曲,канцонетта/canzonetta,歌剧术语,True,no_exact_match
1103,歌剧-芭蕾,опера-балет,歌剧-芭蕾。опера,,歌剧术语,True,no_exact_match
1105,正歌剧,опера-сериа,,,歌剧术语,True,no_exact_match
